timestamp,src_ip,dst_ip,protocol,length,flags,sport,dport
1745214443.956583,10.30.247.143,40.104.77.34,6,78,S,51021,443
1745214443.9696798,40.104.77.34,10.30.247.143,6,74,SA,443,51021
1745214443.9700422,10.30.247.143,40.104.77.34,6,66,A,51021,443
1745214443.9704452,10.30.247.143,40.104.77.34,6,1436,A,51021,443
1745214443.9708102,10.30.247.143,40.104.77.34,6,907,PA,51021,443
1745214443.984031,40.104.77.34,10.30.247.143,6,66,A,443,51021
1745214443.984673,40.104.77.34,10.30.247.143,6,165,PA,443,51021
1745214443.985193,10.30.247.143,40.104.77.34,6,66,A,51021,443
1745214443.9857569,10.30.247.143,40.104.77.34,6,1123,PA,51021,443
1745214443.999747,40.104.77.34,10.30.247.143,6,357,PA,443,51021
1745214444.000504,10.30.247.143,40.104.77.34,6,66,A,51021,443
1745214444.0019898,10.30.247.143,40.104.77.34,6,140,PA,51021,443
1745214444.002641,10.30.247.143,40.104.77.34,6,158,PA,51021,443
1745214444.003254,10.30.247.143,40.104.77.34,6,1436,A,51021,443
1745214444.003813,10.30.247.143,40.104.77.34,6,93,PA,51021,443
1745214444.012348,10.30.247.143,104.18.10.200,6,66,FA,51006,443
1745214444.014657,40.104.77.34,10.30.247.143,6,525,PA,443,51021
1745214444.0155132,40.104.77.34,10.30.247.143,6,128,PA,443,51021
1745214444.016118,40.104.77.34,10.30.247.143,6,97,PA,443,51021
1745214444.016633,10.30.247.143,40.104.77.34,6,66,A,51021,443
1745214444.0170822,10.30.247.143,40.104.77.34,6,66,A,51021,443
1745214444.017642,10.30.247.143,40.104.77.34,6,97,PA,51021,443
1745214444.0617101,10.30.247.143,142.250.183.106,17,71,0,57909,443
1745214444.073524,142.250.183.106,10.30.247.143,17,67,0,443,57909
1745214444.0820951,40.104.77.34,10.30.247.143,6,66,A,443,51021
1745214444.251509,40.104.77.34,10.30.247.143,6,1387,PA,443,51021
1745214444.252407,10.30.247.143,40.104.77.34,6,66,A,51021,443
1745214444.278125,10.30.247.143,142.250.183.106,17,71,0,57909,443
1745214444.290179,142.250.183.106,10.30.247.143,17,67,0,443,57909
1745214444.495038,10.30.247.143,142.250.183.106,17,71,0,57909,443
1745214444.507754,142.250.183.106,10.30.247.143,17,67,0,443,57909
1745214444.711715,10.30.247.143,142.250.183.106,17,71,0,57909,443
1745214444.725321,142.250.183.106,10.30.247.143,17,67,0,443,57909
1745214444.9261062,10.30.247.143,142.250.183.106,17,71,0,57909,443
1745214444.939484,142.250.183.106,10.30.247.143,17,67,0,443,57909
1745214445.1449862,10.30.247.143,142.250.183.106,17,71,0,57909,443
1745214445.157137,142.250.183.106,10.30.247.143,17,67,0,443,57909
1745214445.5588758,10.30.247.143,142.250.183.106,17,71,0,57909,443
1745214445.579909,142.250.183.106,10.30.247.143,17,67,0,443,57909
1745214446.102853,10.30.247.143,52.123.171.36,6,54,A,50943,443
1745214446.1107562,10.30.247.143,52.123.160.113,6,54,A,50640,443
1745214446.13411,10.30.247.143,104.18.10.200,6,54,RA,51006,443
1745214446.2356071,10.30.247.143,3.147.10.153,6,54,A,50994,443
1745214446.242635,52.123.171.36,10.30.247.143,6,66,A,443,50943
1745214446.259069,52.123.160.113,10.30.247.143,6,66,A,443,50640
1745214446.382278,10.30.247.143,142.250.183.106,17,71,0,57909,443
1745214446.3956249,142.250.183.106,10.30.247.143,17,67,0,443,57909
1745214446.447094,3.147.10.153,10.30.247.143,6,66,A,443,50994
1745214447.1335812,34.120.52.64,10.30.247.143,6,93,PA,443,49403
1745214447.134275,10.30.247.143,34.120.52.64,6,66,A,49403,443
1745214447.13659,10.30.247.143,34.120.52.64,6,97,PA,49403,443
1745214447.1462111,34.120.52.64,10.30.247.143,6,66,A,443,49403
1745214447.996511,10.30.247.143,142.250.183.106,17,71,0,57909,443
1745214448.013303,142.250.183.106,10.30.247.143,17,67,0,443,57909
1745214448.052873,10.30.247.143,40.104.77.34,6,66,FA,51021,443
